종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지
248270,4,TIGER S&P글로벌헬스케어(합성),15525,2,105,0.68,,10.9751,8578,132,155,해외 주식,TIGER,False,False,False
225050,4,TIGER 유로스탁스레버리지(합성 H),7750,2,250,3.33,,40.318000000000005,18654,144,155,해외 주식,TIGER,False,True,True
276990,4,KODEX 글로벌4차산업로보틱스(합성),18050,2,405,2.3,,34.9006,11962,214,153,해외 주식,KODEX,False,False,False
277540,4,KINDEX S&P아시아TOP50,16985,5,-5,-0.03,,29.5463,20231,342,153,해외 주식,KINDEX,False,False,False
210780,2,TIGER 코스피고배당,12050,2,170,1.43,12087.0,16.6994,42496,509,152,국내 업종/테마,TIGER,False,False,False
331910,2,KOSEF Fn중소형,21595,2,355,1.67,21570.0,23.6681,50,1,151,국내 업종/테마,KOSEF,False,False,False
279540,2,KODEX 최소변동성,12585,2,160,1.29,12593.0,19.3563,21,0,151,국내 업종/테마,KODEX,False,False,False
307010,3,KBSTAR KRX300레버리지,21530,2,290,1.37,21532.0,88.3813,1042,22,151,국내 파생,KBSTAR,False,True,False
253150,3,ARIRANG 200선물레버리지,50170,2,840,1.7,50244.0,92.2447,3326,166,151,국내 파생,ARIRANG,False,True,False
237350,1,KODEX 코스피100,33420,2,165,0.5,33572.0,39.6388,2766,92,150,국내 시장지수,KODEX,False,False,False
139230,2,TIGER 200 중공업,2760,2,25,0.91,2761.0,16.8803,124753,343,149,국내 업종/테마,TIGER,False,False,False
284430,6,KODEX 200미국채혼합,13270,5,-5,-0.04,13264.0,13.2679,19495,258,149,채권,KODEX,False,False,False
140950,1,파워 코스피100,33650,2,480,1.45,33563.0,40.1648,53,1,148,국내 시장지수,파워,False,False,False
271060,5,KODEX 3대농산물선물(H),9910,5,-150,-1.49,,25.0466,59303,590,143,원자재,KODEX,False,False,True
229720,1,KODEX KTOP30,23750,2,140,0.59,23869.0,40.9552,7817,184,143,국내 시장지수,KODEX,False,False,False
228820,1,TIGER KTOP30,11745,2,90,0.77,11791.0,41.3583,46303,540,141,국내 시장지수,TIGER,False,False,False
292750,1,ARIRANG KRX300,19995,2,280,1.42,19979.0,38.0602,34,0,140,국내 시장지수,ARIRANG,False,False,False
361590,2,KBSTAR 코스피ex200,12355,2,105,0.86,12411.0,24.1134,22,0,136,국내 업종/테마,KBSTAR,False,False,False
277650,2,TIGER 코스피중형주,15785,2,190,1.22,15799.0,27.0468,451,7,134,국내 업종/테마,TIGER,False,False,False
